module1	module2	Both	P1A2	P2A1	A1A2	p_raw	p_adj
KOmodel_59-WTmodel_53	KOmodel_59	WTmodel_53	1	2	2	508	0.0174753736510226	0.0174753736510226
KOmodel_38-WTmodel_53	KOmodel_38	WTmodel_53	1	2	2	508	0.0174753736510226	0.0174753736510226
KOmodel_17-WTmodel_57	KOmodel_17	WTmodel_57	1	4	2	506	0.0290117774458978	0.0290117774458978
KOmodel_13-WTmodel_50	KOmodel_13	WTmodel_50	1	4	2	506	0.0290117774458978	0.0290117774458978
KOmodel_32-WTmodel_38	KOmodel_32	WTmodel_38	1	3	2	507	0.0232549302766046	0.0232549302766046
KOmodel_52-WTmodel_48	KOmodel_52	WTmodel_48	1	2	2	508	0.0174753736510226	0.0174753736510226
KOmodel_37-WTmodel_48	KOmodel_37	WTmodel_48	1	2	2	508	0.0174753736510226	0.0174753736510226
KOmodel_11-WTmodel_46	KOmodel_11	WTmodel_46	1	4	2	506	0.0290117774458978	0.0290117774458978
KOmodel_32-WTmodel_46	KOmodel_32	WTmodel_46	1	3	2	507	0.0232549302766046	0.0232549302766046
KOmodel_6-WTmodel_36	KOmodel_6	WTmodel_36	1	5	2	505	0.0347459598625559	0.0347459598625559
KOmodel_17-WTmodel_45	KOmodel_17	WTmodel_45	1	4	2	506	0.0290117774458978	0.0290117774458978
KOmodel_45-WTmodel_45	KOmodel_45	WTmodel_45	1	2	2	508	0.0174753736510226	0.0174753736510226
KOmodel_2-WTmodel_58	KOmodel_2	WTmodel_58	1	6	2	504	0.0404575222302331	0.0404575222302331
KOmodel_36-WTmodel_58	KOmodel_36	WTmodel_58	1	2	2	508	0.0174753736510226	0.0174753736510226
KOmodel_26-WTmodel_55	KOmodel_26	WTmodel_55	1	3	2	507	0.0232549302766046	0.0232549302766046
KOmodel_46-WTmodel_55	KOmodel_46	WTmodel_55	1	2	2	508	0.0174753736510226	0.0174753736510226
KOmodel_3-WTmodel_43	KOmodel_3	WTmodel_43	1	5	2	505	0.0347459598625559	0.0347459598625559
KOmodel_17-WTmodel_44	KOmodel_17	WTmodel_44	1	4	2	506	0.0290117774458978	0.0290117774458978
KOmodel_47-WTmodel_44	KOmodel_47	WTmodel_44	1	2	2	508	0.0174753736510226	0.0174753736510226
KOmodel_51-WTmodel_44	KOmodel_51	WTmodel_44	1	2	2	508	0.0174753736510226	0.0174753736510226
KOmodel_15-WTmodel_42	KOmodel_15	WTmodel_42	1	4	2	506	0.0290117774458978	0.0290117774458978
KOmodel_46-WTmodel_42	KOmodel_46	WTmodel_42	1	2	2	508	0.0174753736510226	0.0174753736510226
KOmodel_1-WTmodel_31	KOmodel_1	WTmodel_31	1	7	2	503	0.0461465092525837	0.0461465092525837
KOmodel_15-WTmodel_31	KOmodel_15	WTmodel_31	1	4	2	506	0.0290117774458978	0.0290117774458978
KOmodel_37-WTmodel_33	KOmodel_37	WTmodel_33	1	2	2	508	0.0174753736510226	0.0174753736510226
KOmodel_1-WTmodel_37	KOmodel_1	WTmodel_37	1	7	2	503	0.0461465092525837	0.0461465092525837
KOmodel_44-WTmodel_37	KOmodel_44	WTmodel_37	1	2	2	508	0.0174753736510226	0.0174753736510226
KOmodel_9-WTmodel_47	KOmodel_9	WTmodel_47	1	4	2	506	0.0290117774458978	0.0290117774458978
KOmodel_19-WTmodel_47	KOmodel_19	WTmodel_47	1	3	2	507	0.0232549302766046	0.0232549302766046
KOmodel_46-WTmodel_47	KOmodel_46	WTmodel_47	1	2	2	508	0.0174753736510226	0.0174753736510226
KOmodel_4-WTmodel_34	KOmodel_4	WTmodel_34	1	5	2	505	0.0347459598625559	0.0347459598625559
KOmodel_28-WTmodel_34	KOmodel_28	WTmodel_34	1	3	2	507	0.0232549302766046	0.0232549302766046
KOmodel_24-WTmodel_34	KOmodel_24	WTmodel_34	1	3	2	507	0.0232549302766046	0.0232549302766046
KOmodel_6-WTmodel_54	KOmodel_6	WTmodel_54	1	5	2	505	0.0347459598625559	0.0347459598625559
KOmodel_16-WTmodel_52	KOmodel_16	WTmodel_52	1	4	2	506	0.0290117774458978	0.0290117774458978
KOmodel_35-WTmodel_52	KOmodel_35	WTmodel_52	1	2	2	508	0.0174753736510226	0.0174753736510226
