orig_model	model	color	OTU	X1	X2
301	1	model_1	#9E0142	ASV_267	-10.2978351701445	-1.95271642039008
302	4	model_4	#E65948	ASV_317	-14.5333236261025	7.78546346345979
303	1	model_1	#9E0142	ASV_410	-9.08379267026472	-1.57826506575852
304	21	model_21	#466DB0	ASV_478	10.3316801959535	-23.599891551513
305	1	model_1	#9E0142	ASV_304	-10.0920519808304	-5.81641932024334
306	2	model_2	#BA2148	ASV_335	3.58148181427086	-4.50762993999462
307	11	model_11	#FDD07D	ASV_325	3.41063796550237	-23.5298844669399
308	1	model_1	#9E0142	ASV_24	-7.89646112845737	-0.531933095631634
309	3	model_3	#FDB567	ASV_182	-6.44313930330697	-10.9140559294284
310	1	model_1	#9E0142	ASV_545	-12.4129601053149	0.431913130891602
311	3	model_3	#FDB567	ASV_902	-3.46141749257298	-15.6206650126815
312	1	model_1	#9E0142	ASV_195	-12.9395311868112	-7.48575965786317
313	1	model_1	#9E0142	ASV_301	1.73995879647408	-12.0521424061816
314	1	model_1	#9E0142	ASV_665	-15.9675114101409	-8.87058526458969
315	1	model_1	#9E0142	ASV_681	-4.72464050801014	-8.74709855477749
316	5	model_5	#F47346	ASV_409	16.3549609835664	6.01881530124916
317	1	model_1	#9E0142	ASV_560	-6.70687822309671	2.974866352625
318	1	model_1	#9E0142	ASV_379	-18.2754189118446	-4.35395992096344
319	2	model_2	#BA2148	ASV_775	6.97489929919106	2.33123952803368
320	1	model_1	#9E0142	ASV_71	-10.7860056441512	0.291079046164708
321	4	model_4	#E65948	ASV_179	-6.17574751533022	10.43917903766
322	1	model_1	#9E0142	ASV_861	-11.8626969067438	-1.10174999874424
323	4	model_4	#E65948	ASV_176	-10.5925343164167	-2.4359952713544
324	1	model_1	#9E0142	ASV_140	-4.99876614356592	-2.19439373338232
325	3	model_3	#FDB567	ASV_578	-3.79777068624184	-14.1617291024661
326	4	model_4	#E65948	ASV_856	-15.9011827886466	10.1006126367713
327	4	model_4	#E65948	ASV_385	-12.5927229001748	9.02791956527513
328	1	model_1	#9E0142	ASV_460	-7.91349519081808	-2.0869728116823
329	1	model_1	#9E0142	ASV_29	-5.53312938668119	1.5696689662881
330	4	model_4	#E65948	ASV_129	-7.93916499080607	5.48917324303966
331	4	model_4	#E65948	ASV_477	-12.0128910001106	6.4787451666004
332	6	model_6	#F99655	ASV_540	-0.83646790140542	10.6362109770573
333	6	model_6	#F99655	ASV_704	-7.53178545730001	9.52239422977383
334	7	model_7	#D6404E	ASV_33	-6.64475415313254	-14.792970877639
335	7	model_7	#D6404E	ASV_203	-6.479652007345	-15.7988615868494
336	7	model_7	#D6404E	ASV_37	-7.20506213011401	-18.4676208795795
337	7	model_7	#D6404E	ASV_259	-9.35746651873388	-15.8664512731445
338	2	model_2	#BA2148	ASV_424	1.52799597224819	-6.95003312357208
339	2	model_2	#BA2148	ASV_580	-0.617542913419075	-3.0229906749614
340	1	model_1	#9E0142	ASV_102	-16.1329214144777	0.859276523836996
341	4	model_4	#E65948	ASV_347	-14.3017770540638	8.74697274994577
342	30	mini_model	#C1C1C1	ASV_831	4.07679644584593	20.7220945247096
343	1	model_1	#9E0142	ASV_294	-3.45637691214118	-4.56008987143869
344	25	model_25	#EBF7A0	ASV_552	-20.8086484705029	-12.3294575068925
