ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196	DS07P016	DS10P016	DS08P017	DS07P037	DS07P049	DS10P049	DS07P054	DS10P054	DS07P060	DS07P065	DS07P076	DS10P166	DS07P172	DS08P191	DS07P193
ASV_47	0.035	14.425	0.0403903406084507	0.445450582838773	NotSig	0.15	0.146	0.114	0.041	0.007	0	0	2.199	0.002	0	0.001	0.011	0	0	0	0.02	0.001	0.001	0.152	0.121	0.27	0.774	0.054	0.005	0.035	0.008	0.005	0.007	0.171	0.001	0	0.007	0.54	0.199
ASV_44	-0.118	13.096	0.73386453854081	0.916442857299212	NotSig	0.098	0.106	0.168	0.71	0.073	0.002	0.002	0.084	0	0.013	0.001	0.001	0.139	0.002	0.081	0	0.033	0.349	0.008	0.116	0.875	0.23	0.056	0.005	0.156	0.021	0.055	0	0.056	0.006	0.003	0.003	0.001	0.011
ASV_71	2.998	15.451	0.104291827362252	0.474340158784725	NotSig	0.512	0.064	0.064	0.246	0.011	0.002	0.004	0.04	0.005	4.48	2.261	0.001	0.001	0.003	0.587	0.759	0.118	0.103	0.01	0.179	0.112	0.021	0.015	0.007	0.599	0.001	0.009	0.004	0.004	0.002	0	0	0.008	0
ASV_73	1.75	16.54	0.0595901858355731	0.445450582838773	NotSig	0.593	0.176	0.327	0.054	0.047	0.003	9.532	0.082	0.002	0	0	0	0	0	0	0.014	0.003	0.011	0	0.112	0.117	0.092	0.166	0.029	0.021	0.033	0.003	0.043	0.069	0.002	0.013	0	1.939	0.002
ASV_94	0.371	14.19	1	1	NotSig	0.315	0.244	0.057	0.051	0.125	0.426	1.868	0.01	0.448	0	0.062	0.768	0.336	0.661	0.001	0.032	0.104	0.095	0.315	0.058	0.098	0.225	0.078	0.547	0.241	0.229	0.689	0.12	0.001	0.025	0.182	1.101	0.008	0.057
ASV_53	-0.758	12.174	0.0599080638001353	0.445450582838773	NotSig	0.043	0.073	0.188	0.028	0.004	0.435	0	0	0.002	0	0.058	0	0	0	0	0.018	0	0.003	0	0.017	0.124	0.204	0.032	0.044	0.462	0.096	0.024	0.004	0	0.001	0.018	0	0	0.072
ASV_66	5.278	17.069	0.354887872953047	0.666400561434054	NotSig	1.03	0.027	0.007	0.005	0.002	0.088	0.592	0	13.753	1.738	0.007	0.003	0.004	0	1.305	0	0.001	0.001	0	0	0.03	0.033	0.22	0.009	0	0	0	0.004	0	0.055	0.004	0	0	0.044
ASV_74	0.168	13.959	0.0948888815514545	0.445450582838773	NotSig	0.116	0.103	1.592	0.041	0.148	0.002	0.071	0.063	0.034	0	0.006	0	0.001	0	0	0	0.006	0	0.013	0.214	0.397	0.17	0.147	0.003	0.176	0.032	0.003	0.004	0.013	0.009	0.015	0	0.367	0.002
ASV_63	-0.84	13.059	0.354427117619435	0.666400561434054	NotSig	0.094	0.168	0.099	0.126	0.009	0.041	0.14	0.815	0.022	0	0.004	0.008	0.003	0	0	0.006	0.035	0.035	0.253	0.592	0.133	0.348	0.122	0.185	0.007	0.134	0.007	0.853	0.071	0.004	0.001	0	0.062	0.002
ASV_90	0.045	16.423	0.390278827762123	0.681983717587188	NotSig	0.794	0.77	0.121	0.023	8.788	0.098	0.089	0.012	0.29	0.021	0.004	0.083	1.54	0	0.001	0.046	0.111	2.263	0.011	0.091	0.093	0.09	0.029	0.762	3.513	0.184	2.407	0.026	0.006	0.02	3.871	0.001	0.064	0.39
ASV_119	0.618	14.995	0.034388260096773	0.445450582838773	NotSig	0.424	0.276	0.007	0.028	0.367	0.005	0.018	0.414	0.015	0.569	0.222	0.18	0.011	0.017	1.567	0.095	0.115	0.306	3.266	0.064	0.074	0.016	0.002	0.007	0.808	0.03	0.185	0	0.01	2.933	0	0.009	0	0.003
ASV_881	3.22	16.516	0.0948888815514545	0.445450582838773	NotSig	0.577	0.062	9.373	0.113	0.157	0.003	0.009	0.005	0	0	0.004	0.001	0	0	0	0.054	0	0.086	0.007	0.031	0.16	0.087	0.144	0.005	0.323	0.035	0.092	0.009	0.02	0.011	0.001	0	0.004	0.008
ASV_86	0.079	15.345	1	1	NotSig	0.43	0.407	0.057	2.476	0.075	0.289	0	0.016	0	0	0.254	2.975	0.01	1.051	0	0	0.1	0	0	0	0	0	1.098	0.128	0.255	0.115	0.107	0.002	0.003	0	0	4.162	0	0.229
