OTUID	All	med	post	pre
ASV_635	0.026062	0.02843382	0.02596512	0.02361418
ASV_494	0.023882	0.01828948	0.02594106	0.02798101
ASV_454	0.024354	0.01283956	0.02715727	0.03410743
ASV_349	0.022248	0.03547924	0.01223408	0.01725345
ASV_430	0.024245	0.02408460	0.01157142	0.03600939
ASV_522	0.025779	0.03312539	0.02115431	0.02215135
ASV_420	0.026387	0.02092029	0.03938498	0.02034450
ASV_1182	0.02385	0.01740501	0.01389042	0.03985433
ASV_336	0.02135	0.03396733	0.01455038	0.01407248
ASV_463	0.029145	0.01074390	0.05666056	0.02366136
ASV_415	0.024348	0.01902457	0.03667755	0.01876346
ASV_616	0.024859	0.02300604	0.03153302	0.02073568
ASV_1084	0.021904	0.01440141	0.01447143	0.03672969
ASV_384	0.032716	0.023948213	0.068707291	0.009172595
