OTUID	All	D	H	I
ASV_387	0.033598	0.012262271	0.044208692	0.005872123
ASV_126	0.032439	0.05525240	0.02892204	0.02392214
ASV_283	0.03121	0.01490771	0.03805452	0.01618504
ASV_1072	0.025017	0.02074284	0.01496214	0.07884346
ASV_742	0.023928	0.002577643	0.033164379	0.002919807
ASV_255	0.02911	0.03076937	0.03186876	0.01379345
ASV_215	0.032809	0.02649843	0.03450388	0.03164267
ASV_398	0.032758	0.001201639	0.042366295	0.021420485
ASV_637	0.023787	0.094889639	0.009075406	0.015516458
ASV_774	0.035571	0.006375003	0.002110921	0.231535178
ASV_642	0.030042	0.00000000	0.04313679	0.00000000
ASV_449	0.031912	0.02151104	0.03412765	0.03281418
ASV_291	0.030133	0.01998655	0.02687921	0.05741252
ASV_229	0.029624	0.03184020	0.02208226	0.06389853
ASV_346	0.030773	0.06431990	0.02680424	0.01237736
ASV_298	0.027507	0.0006094255	0.0380849051	0.0061969203
ASV_232	0.028327	0.015988378	0.035690198	0.006309493
ASV_273	0.027393	0.005572436	0.015579320	0.109534389
ASV_246	0.031911	0.02373132	0.03404320	0.03071641
ASV_1209	0.02347	0.008895883	0.010548176	0.102858608
ASV_473	0.02554	0.06645118	0.01359746	0.03773500
ASV_233	0.025897	0.08988136	0.00728805	0.04463347
ASV_319	0.029484	0.138678267	0.008490078	0.008986443
ASV_833	0.025635	0.105022022	0.011513460	0.005165349
ASV_427	0.027701	0.03391353	0.02325965	0.04236410
ASV_546	0.027249	0.009386059	0.026952767	0.048788948
ASV_989	0.03236	0.02782414	0.03873716	0.00637226
ASV_375	0.02763	0.05945636	0.02375262	0.01072921
ASV_365	0.026674	0.05255692	0.02147111	0.02292269
ASV_438	0.025623	0.06451548	0.01722729	0.02279852
ASV_1080	0.028995	0.000000000	0.040491426	0.005569335
ASV_683	0.025183	0.01691868	0.01949867	0.06219318
ASV_301	0.030373	0.01288329	0.03657528	0.01981134
ASV_356	0.027602	0.01504822	0.03175157	0.02149820
ASV_328	0.031415	0.002433584	0.028382873	0.078797432
ASV_744	0.027331	0.03667183	0.02731378	0.01690774
ASV_498	0.023739	0.03599790	0.01311017	0.06176675
ASV_458	0.024246	0.03357220	0.02025157	0.03322532
ASV_139	0.026073	0.009284403	0.034368967	0.004516636
ASV_183	0.023445	0.040506674	0.023140293	0.005734032
ASV_414	0.029851	0.003443188	0.041337824	0.003564768
ASV_483	0.027665	0.01609719	0.03117725	0.02355906
ASV_598	0.02515	0.032742963	0.027651904	0.004413806
ASV_522	0.024456	0.01769293	0.01948277	0.05631114
ASV_279	0.023826	0.0097090298	0.0318696540	0.0004938317
ASV_727	0.034227	0.00000000	0.04708147	0.01006576
ASV_342	0.025298	0.04947198	0.01770728	0.03510498
ASV_791	0.042106	0.001468173	0.059749908	0.001808146
ASV_333	0.028132	0.01872122	0.02240952	0.06661353
ASV_409	0.026512	0.05682966	0.02225120	0.01317509
ASV_1044	0.026538	0.01682310	0.02953337	0.02286210
ASV_296	0.023226	0.03264035	0.01672408	0.04433446
ASV_421	0.024899	0.004998898	0.029989471	0.022468579
ASV_344	0.021207	0.002421660	0.028399928	0.007272863
ASV_594	0.024462	0.00524591	0.02149535	0.06054408
ASV_347	0.02648	0.01536145	0.03225830	0.01082009
ASV_658	0.02836	0.001411444	0.003301596	0.180836040
ASV_528	0.02252	0.01643449	0.02410319	0.02164611
ASV_899	0.031131	0.0007609047	0.0362479405	0.0403509537
ASV_400	0.028148	0.004012451	0.038622048	0.004237264
ASV_459	0.022155	0.00244528	0.02593417	0.02590235
ASV_452	0.02591	0.03570008	0.02119930	0.03785780
